id|theme|url|tags|sequence|minutes|notes
plyo-01|plyometrics|https://www.instagram.com/reel/DP2ee3yCeNi/|skips|a1|15|
plyo-02|plyometrics|https://www.instagram.com/reel/DXVPoC9gc0Y/|skips;pogos|a2|15|
plyo-03|plyometrics|https://www.instagram.com/reel/DNDUVd3slXg/|bounds|a3|15|
plyo-04|plyometrics|https://www.instagram.com/reel/DZofVPdNYBZ/|single leg;weighted;pogo|||
plyo-05|plyometrics|https://www.instagram.com/reel/DXO8zBMEWPY/|weighted;lateral;bounds|a4|15|
plyo-06|plyometrics|https://www.instagram.com/reel/DW8_khEEcp7/|weighted;lateral;bounds|||Coach Goodwin (@good_win_speed)
plyo-07|plyometrics|https://www.instagram.com/reel/DVtaHrQAva1/|lateral;pogo|b1|15|
coord-01|coordination_skills|https://www.instagram.com/reel/DYo9-MIoOB-/|lateral;rotation;turn|b3|15|
coord-02|coordination_skills|https://www.instagram.com/reel/DWZEcjgjjL9/|lateral;feint|||
coord-03|coordination_skills|https://www.instagram.com/reel/DWmA_S0Esjj/|lateral;bound;feint|||
coord-04|coordination_skills|https://www.instagram.com/reel/DXjqkXLiBK8/|dribble;foot speed|b5|20|
coord-05|coordination_skills|https://www.instagram.com/reel/DU8i0C9EQqt/|skill move|||
coord-06|coordination_skills|https://www.instagram.com/reel/DZcd8fhILzJ/|dribble;rotation;turn|b4|15|
coord-07|coordination_skills|https://www.instagram.com/reel/DZXep4Xutoc/|ginga;penguin|d|15|
coord-08|coordination_skills|https://www.instagram.com/reel/DZmSJ7GBcIh/|ginga|d||
coord-09|coordination_skills|https://www.instagram.com/reel/DZkalIySyM2/|lateral;feint|c||
coord-10|coordination_skills|https://www.instagram.com/reel/DW_y2AADKTy/|lateral;feint|c||
coord-11|coordination_skills|https://www.instagram.com/reel/DW_nocojnt2/|lateral;feint;dribble|c||
coord-12|coordination_skills|https://www.instagram.com/reel/C2M30WkLAu9/|ginga|d||
coord-13|coordination_skills|https://www.instagram.com/reel/DT43NMckjIc/|lateral;feint;dribbling;foot speed|b2||
coord-14|coordination_skills|https://www.instagram.com/reel/DZP0UHkhvdz/|lateral;feint|||
coord-15|coordination_skills|https://www.instagram.com/reel/DZh1s7xy018/|dribble;rotation;turn|b7|10|
coord-16|coordination_skills|https://www.instagram.com/reel/DY7NwngyvFd/|dribble;rotation;turn|b8|10|
coord-17|coordination_skills|https://www.instagram.com/reel/DVjBrXwgLeF/|dribble;rotation;turn|b6|10|
wall-01|pass_wall|https://www.instagram.com/reel/DXhLRm8u3X5/|skill move|e||
wall-03|pass_wall|https://www.instagram.com/reel/DX4XS0tSwwI/|dribble;turn|e||
wall-04|pass_wall|https://www.instagram.com/reel/DXUx10gESLV/|skill move|e||
ball-01|ball_mastery|https://www.instagram.com/reel/DWCIiSfgDVc/|cone;skill move|f2|20|
ball-02|ball_mastery|https://www.instagram.com/reel/DWJr0chAA4l/|cone;skill move|f3|20|
ball-03|ball_mastery|https://www.instagram.com/p/DW3lI89Fk3W/|cone;skill move|f1|20|carousel post
ball-04|ball_mastery|https://www.instagram.com/reel/DXWub4MEiaL/||||
ball-05|ball_mastery|https://www.instagram.com/reel/DXZUF2uktgK/|lateral;feint;dribble|||
ball-06|ball_mastery|https://www.instagram.com/reel/DXKFnSgEooj/||||
ball-07|ball_mastery|https://www.instagram.com/reel/DXaEGPMEp5A/|cone;dribble;skill move|g1|15|
ball-08|ball_mastery|https://www.instagram.com/p/DWZMFEUEeNc/|cone;dribble;skill move|f4|20|carousel post
ball-09|ball_mastery|https://www.instagram.com/p/DXASMKeiUfu/|cone;dribble|||carousel post
ball-10|ball_mastery|https://www.instagram.com/reel/DWryj2YjI8q/|skill move|g4|20|
ball-11|ball_mastery|https://www.instagram.com/reel/DW4BmQUEuFc/||g3|20|
ball-12|ball_mastery|https://www.instagram.com/reel/DWkaA5air9o/||f5||
ball-13|ball_mastery|https://www.instagram.com/reel/DWrH8WlEmkX/||g2|20|
yoga-01|yoga_stretch|https://www.instagram.com/reel/DW_zewYkeet/||||
